,Company,LTP,Market Cap(in CR),Listing date,Issue size,Issue price,QIB subscription,HNI subscription,Retail subscription,Total subscription,Listing open,Listing close,Listing gain,Current gain,Issue type
20,Suntech Infra Solutions,82.0,158.8,02 Jul `25,44.4 Cr,₹ 86,65.2x,704.0x,199.4x,208.0x,109.1,103.8,26.9%,-4.7%,SME
21,Supertech EV,53.0,65.5,02 Jul `25,29.9 Cr,₹ 92,0.9x,2.1x,6.7x,4.2x,73.6,69.9,-20.0%,-42.4%,SME
22,Rama Telecom,67.7,89.3,02 Jul `25,25.1 Cr,₹ 68,0.4x,2.8x,2.7x,1.6x,72.0,68.4,5.9%,-0.5%,SME
23,AJC Jewel Manufacturers,91.8,55.7,01 Jul `25,15.4 Cr,₹ 95,1.9x,2.9x,3.8x,2.7x,99.0,95.4,4.2%,-3.4%,SME
24,Shri HareKrishna Sponge Iron,65.7,126.1,01 Jul `25,29.9 Cr,₹ 59,5.8x,13.9x,4.1x,6.4x,64.8,64.5,9.8%,11.4%,SME
25,Icon Facilitators,51.3,40.3,01 Jul `25,19.1 Cr,₹ 91,0.2x,3.1x,5.3x,2.4x,90.0,85.5,-1.1%,-43.7%,SME
26,Abram Food,91.0,46.9,01 Jul `25,14.0 Cr,₹ 98,-,33.3x,21.0x,27.1x,90.4,94.9,-7.8%,-7.1%,SME
27,Mayasheel Ventures,57.5,126.7,27 Jun `25,27.3 Cr,₹ 47,52.1x,951.4x,136.3x,216.5x,58.0,60.9,23.4%,22.2%,SME
28,Safe Enterprises Retail,221.0,1030.0,27 Jun `25,169.7 Cr,₹ 138,18.2x,17.1x,5.9x,13.7x,151.0,158.6,9.4%,60.1%,SME
29,Aakaar Medical Technologies,88.0,124.7,27 Jun `25,27.0 Cr,₹ 72,1.9x,2.4x,2.6x,2.2x,75.0,71.3,4.2%,22.2%,SME
30,Influx Healthtech,151.3,350.4,25 Jun `25,58.6 Cr,₹ 96,73.2x,639.8x,156.4x,187.3x,132.5,126.2,38.0%,57.7%,SME
31,Eppeltone Engineers,199.5,258.5,24 Jun `25,44.0 Cr,₹ 128,70.2x,834.8x,329.5x,275.7x,243.2,255.3,90.0%,55.9%,SME
32,Samay Project Services,33.8,51.8,23 Jun `25,14.7 Cr,₹ 34,11.6x,94.5x,20.1x,27.0x,36.0,36.0,6.0%,-0.7%,SME
33,Patil Automation,216.0,471.3,23 Jun `25,69.6 Cr,₹ 120,44.0x,343.4x,59.5x,94.3x,155.0,162.8,29.2%,80.0%,SME
34,Aten Papers and Foam,33.3,34.3,20 Jun `25,31.7 Cr,₹ 96,0.3x,2.3x,2.8x,1.5x,90.0,85.5,-6.3%,-65.3%,SME
35,Monolithisch India,418.0,908.6,19 Jun `25,82.0 Cr,₹ 143,68.7x,611.9x,125.8x,170.1x,231.6,243.1,61.9%,192.3%,SME
36,Jainik Power Cables,98.0,140.6,17 Jun `25,51.3 Cr,₹ 110,0.2x,3.6x,2.5x,1.5x,82.0,82.8,-25.4%,-10.9%,SME
37,Sacheerome,174.8,391.1,16 Jun `25,61.6 Cr,₹ 102,91.9x,1075.3x,239.6x,291.1x,153.0,160.6,50.0%,71.4%,SME
38,Ganga Bath Fittings,27.6,61.4,11 Jun `25,32.6 Cr,₹ 49,2.1x,0.8x,2.4x,1.6x,59.0,56.0,20.4%,-43.6%,SME
39,3B Films,34.5,96.6,06 Jun `25,33.8 Cr,₹ 50,-,0.9x,2.6x,1.8x,48.5,46.1,-3.0%,-30.9%,SME
40,Neptune Petrochemicals,141.5,320.5,04 Jun `25,73.2 Cr,₹ 122,3.8x,13.4x,-,3.9x,132.8,139.3,8.8%,16.0%,SME
41,N R Vandana Tex Industries,38.8,90.3,04 Jun `25,27.9 Cr,₹ 45,19.4x,561.9x,-,94.0x,45.0,43.7,0.0%,-13.9%,SME
42,Blue Water Logistics,154.9,170.4,03 Jun `25,40.5 Cr,₹ 135,7.3x,13.8x,8.7x,8.8x,141.0,148.1,4.4%,14.7%,SME
43,Nikita Papers,82.3,202.9,03 Jun `25,67.5 Cr,₹ 104,0.6x,2.7x,2.0x,1.4x,90.0,90.5,-13.5%,-20.9%,SME
44,Astonea Labs,174.0,182.9,03 Jun `25,37.7 Cr,₹ 135,0.9x,7.9x,2.2x,2.4x,137.4,135.7,1.8%,28.9%,SME
45,Unified Data Tech Solutions,314.1,630.9,29 May `25,144.5 Cr,₹ 273,44.5x,282.6x,57.9x,84.9x,285.0,299.3,4.4%,15.0%,SME
46,Dar Credit Capital,55.0,78.5,28 May `25,25.7 Cr,₹ 60,16.6x,277.5x,139.3x,98.7x,65.2,64.0,8.6%,-8.3%,SME
47,Accretion Pharmaceuticals,61.6,68.5,21 May `25,29.8 Cr,₹ 101,1.3x,13.1x,13.5x,7.3x,79.0,83.0,-21.8%,-39.0%,SME
48,Integrity Infrabuild,100.5,43.2,20 May `25,12.0 Cr,₹ 100,-,2.1x,2.1x,2.1x,100.8,103.5,0.8%,0.5%,SME
49,Virtual Galaxy Infotech,171.9,427.5,19 May `25,93.3 Cr,₹ 142,68.2x,790.8x,178.1x,215.1x,180.0,189.0,26.8%,21.1%,SME
50,Manoj Jewellers,51.9,46.6,12 May `25,16.2 Cr,₹ 54,-,1.3x,1.0x,1.1x,54.0,53.8,-0.1%,-3.9%,SME
51,Srigee DLM,266.8,159.3,12 May `25,17.0 Cr,₹ 99,72.8x,2046.7x,324.1x,456.8x,188.1,197.5,90.0%,169.4%,SME
52,Kenrik Industries,13.4,16.7,09 May `25,8.8 Cr,₹ 25,-,0.3x,3.6x,1.9x,25.0,26.3,0.0%,-46.4%,SME
53,Arunaya Organics,25.0,43.8,07 May `25,34.0 Cr,₹ 58,1.0x,1.5x,4.1x,2.5x,30.1,31.6,-48.1%,-56.9%,SME
54,Iware Supplychain Services,87.0,93.2,06 May `25,27.1 Cr,₹ 95,-,2.6x,3.1x,2.9x,85.0,80.9,-10.5%,-8.4%,SME
55,Tankup Engineers,357.1,189.1,30 Apr `25,19.5 Cr,₹ 140,22.3x,560.9x,59.6x,116.2x,175.0,183.8,25.0%,155.1%,SME
56,Infonative Solutions,36.0,42.7,08 Apr `25,24.7 Cr,₹ 79,1.9x,3.6x,8.2x,4.3x,63.2,60.0,-20.0%,-54.4%,SME
57,Spinaroo Commercial,61.0,42.7,08 Apr `25,10.2 Cr,₹ 51,-,1.8x,1.1x,1.5x,52.9,54.4,3.6%,19.6%,SME
58,Retaggio Industries,24.0,37.4,07 Apr `25,15.5 Cr,₹ 25,-,1.2x,2.3x,1.8x,25.1,25.2,0.4%,-4.0%,SME
59,Identixweb,61.4,64.1,03 Apr `25,16.6 Cr,₹ 54,5.9x,98.2x,19.1x,24.4x,55.0,57.8,1.9%,13.6%,SME
60,Shri Ahimsa Naturals,180.1,420.2,02 Apr `25,73.8 Cr,₹ 119,11.2x,242.8x,46.8x,58.4x,140.0,147.0,17.6%,51.3%,SME
61,ATC Energies System,76.3,155.5,02 Apr `25,63.8 Cr,₹ 118,0.4x,2.6x,2.9x,1.6x,107.0,101.7,-9.3%,-35.4%,SME
62,Desco Infratech,240.0,184.2,01 Apr `25,30.8 Cr,₹ 150,15.1x,310.9x,67.4x,77.7x,160.0,168.0,6.7%,60.0%,SME
63,Active Infrastructures,170.0,255.3,28 Mar `25,77.8 Cr,₹ 181,0.1x,4.8x,0.8x,1.1x,181.0,175.6,0.0%,-6.1%,SME
64,Rapid Fleet Management,194.0,144.2,28 Mar `25,43.9 Cr,₹ 192,0.5x,6.3x,0.9x,1.5x,195.0,200.9,1.6%,1.0%,SME
65,Grand Continent Hotels,165.6,412.5,27 Mar `25,74.5 Cr,₹ 113,1.6x,2.3x,1.8x,1.7x,112.9,107.3,-0.1%,46.5%,SME
66,Divine Hira Jewellers,61.8,80.6,24 Mar `25,31.8 Cr,₹ 90,-,1.2x,6.3x,3.8x,90.0,85.5,0.0%,-31.4%,SME
67,Paradeep Parivahan,130.0,206.9,24 Mar `25,44.9 Cr,₹ 98,0.6x,4.3x,1.9x,1.6x,78.4,82.3,-20.0%,32.6%,SME
68,Super Iron Foundry,39.0,91.2,19 Mar `25,68.0 Cr,₹ 108,-,1.4x,1.7x,1.5x,108.0,102.6,-0.1%,-63.9%,SME
69,PDP Shipping & Projects,88.2,26.2,18 Mar `25,12.7 Cr,₹ 135,-,0.2x,1.8x,1.0x,108.3,102.8,-19.8%,-34.7%,SME
70,NAPS Global,41.0,18.2,11 Mar `25,11.9 Cr,₹ 90,-,0.8x,1.5x,1.2x,108.0,102.6,20.0%,-54.4%,SME
71,Balaji Phosphates,139.8,332.3,07 Mar `25,50.1 Cr,₹ 70,0.9x,1.6x,1.1x,1.2x,75.0,74.3,7.1%,99.6%,SME
72,Shreenath Paper Products,24.0,47.2,05 Mar `25,23.4 Cr,₹ 44,-,0.6x,3.0x,1.8x,35.2,33.4,-20.0%,-45.4%,SME
73,Nukleus Office Solutions,180.0,72.6,04 Mar `25,31.7 Cr,₹ 234,-,0.7x,1.4x,1.0x,187.2,196.6,-20.0%,-23.1%,SME
74,Beezaasan Explotech,225.0,290.7,03 Mar `25,59.9 Cr,₹ 175,6.1x,6.7x,3.0x,5.1x,146.0,153.3,-16.6%,28.6%,SME
75,HP Telecom,185.5,221.0,28 Feb `25,34.2 Cr,₹ 108,-,2.0x,1.8x,1.9x,115.0,115.0,6.5%,71.8%,SME
76,Swasth Foodtech,32.0,18.8,28 Feb `25,14.9 Cr,₹ 94,-,2.5x,12.5x,7.5x,94.0,89.3,0.0%,-65.9%,SME
77,Royal Arc Electrodes,160.0,177.6,24 Feb `25,36.0 Cr,₹ 120,0.5x,1.7x,2.9x,1.6x,120.0,121.3,0.0%,33.3%,SME
78,Tejas Cargo,286.9,685.6,24 Feb `25,105.8 Cr,₹ 168,0.7x,1.9x,1.4x,1.1x,175.0,168.0,4.2%,70.8%,SME
79,LK Mehta Polymers,49.5,19.0,21 Feb `25,7.4 Cr,₹ 71,-,40.7x,43.8x,42.3x,71.1,68.3,0.1%,-30.3%,SME
80,Shanmuga Hospital,46.1,62.8,21 Feb `25,20.6 Cr,₹ 54,-,0.7x,4.2x,2.4x,54.0,51.3,0.0%,-14.6%,SME
81,P S Raj Steels,160.0,120.6,19 Feb `25,28.3 Cr,₹ 140,0.6x,28.6x,13.1x,9.2x,145.0,150.6,3.6%,14.3%,SME
82,Voler Car,170.0,189.4,19 Feb `25,27.0 Cr,₹ 90,4.8x,24.6x,18.0x,12.4x,90.0,91.5,0.0%,88.9%,SME
83,Maxvolt Energy Industries,248.0,270.4,19 Feb `25,54.0 Cr,₹ 180,3.6x,2.4x,2.6x,3.1x,180.0,180.9,0.0%,37.8%,SME
84,Chandan Healthcare,245.0,599.1,17 Feb `25,107.4 Cr,₹ 159,3.8x,24.3x,3.1x,6.6x,165.1,173.3,3.8%,54.1%,SME
85,Eleganz Interiors,138.0,311.9,14 Feb `25,78.1 Cr,₹ 130,13.0x,80.8x,28.5x,28.6x,122.0,116.0,-6.2%,6.2%,SME
86,Readymix Construction,116.5,127.7,13 Feb `25,37.7 Cr,₹ 123,2.7x,6.8x,5.7x,4.3x,123.0,116.8,0.0%,-5.3%,SME
87,Solarium Green Energy,394.4,822.3,13 Feb `25,105.0 Cr,₹ 191,4.5x,24.4x,6.7x,8.3x,202.0,211.9,5.8%,106.5%,SME
88,Ken Enterprises,46.0,113.1,12 Feb `25,83.7 Cr,₹ 94,-,1.8x,6.5x,4.1x,85.0,80.8,-9.6%,-51.0%,SME
89,Amwill Health Care,65.9,131.8,12 Feb `25,60.0 Cr,₹ 111,7.4x,5.5x,4.5x,5.5x,88.8,93.3,-19.9%,-40.6%,SME
90,Chamunda Electrical,48.4,53.2,11 Feb `25,14.6 Cr,₹ 50,82.0x,2558.0x,729.3x,680.0x,70.0,66.5,40.0%,-3.3%,SME
91,Malpani Pipes And Fittings Ltd.,71.6,77.2,04 Feb `25,25.9 Cr,₹ 90,31.4x,458.0x,150.1x,136.9x,85.9,84.0,-4.6%,-20.4%,SME
92,GB Logistics Commerce Ltd.,50.7,41.5,31 Jan `25,25.1 Cr,₹ 102,14.3x,722.7x,162.1x,172.3x,81.6,81.8,-20.0%,-50.3%,SME
93,H.M. Electro Mech,66.3,90.8,31 Jan `25,27.7 Cr,₹ 75,9.5x,245.2x,129.8x,87.0x,81.0,77.0,8.0%,-11.7%,SME
94,CLN Energy Ltd.,553.3,583.9,30 Jan `25,72.3 Cr,₹ 250,0.6x,11.9x,8.7x,5.1x,256.0,254.2,2.4%,121.3%,SME
95,Rexpro Enterprises,79.5,89.1,29 Jan `25,53.6 Cr,₹ 145,-,7.9x,25.9x,16.9x,117.0,111.2,-19.3%,-45.2%,SME
96,CapitalNumbers Infotech Ltd.,134.1,327.4,27 Jan `25,169.4 Cr,₹ 263,64.8x,394.9x,95.5x,125.0x,274.0,261.4,4.2%,-49.0%,SME
97,EMA Partners India Ltd.,99.8,232.0,24 Jan `25,76.0 Cr,₹ 124,78.4x,590.7x,222.4x,205.7x,156.5,148.7,26.2%,-19.5%,SME
98,Landmark Immigration Consultants Ltd.,64.0,131.9,23 Jan `25,40.3 Cr,₹ 72,18.5x,156.3x,102.6x,68.6x,75.0,75.1,4.2%,-11.1%,SME
99,Kabra Jewels,110.0,115.3,22 Jan `25,40.0 Cr,₹ 128,77.0x,695.8x,479.8x,310.8x,243.2,255.3,90.0%,-14.1%,SME
100,Rikhav Securities Ltd.,63.5,243.2,22 Jan `25,88.8 Cr,₹ 86,90.2x,821.5x,334.3x,285.3x,163.4,171.6,90.0%,-26.2%,SME
101,Barflex Polyfilms,68.0,168.3,20 Jan `25,39.4 Cr,₹ 60,41.5x,495.3x,130.6x,140.8x,60.0,63.0,0.0%,13.3%,SME
102,Sat Kartar Shopping,186.9,294.4,17 Jan `25,33.8 Cr,₹ 81,67.2x,1069.0x,348.7x,316.0x,153.9,161.6,90.0%,130.8%,SME
103,Avax Apparels and Ornaments Ltd.,120.0,12.5,14 Jan `25,1.9 Cr,₹ 70,-,133.4x,360.9x,247.2x,133.0,139.7,90.0%,71.4%,SME
104,Delta Autocorp,70.0,107.0,14 Jan `25,54.6 Cr,₹ 130,92.1x,806.9x,405.5x,309.0x,175.0,167.3,34.6%,-46.1%,SME
105,B.R.Goyal Infra,156.0,371.7,14 Jan `25,85.2 Cr,₹ 135,36.8x,338.8x,116.2x,109.9x,135.8,142.5,0.6%,15.6%,SME
106,Indobell Insulation Ltd.,145.5,91.7,13 Jan `25,10.1 Cr,₹ 46,-,48.8x,54.1x,51.5x,87.4,91.8,90.0%,216.3%,SME
107,Fabtech Technologies Cleanrooms Ltd.,455.0,560.5,10 Jan `25,27.7 Cr,₹ 85,119.0x,1974.4x,950.1x,688.2x,161.5,169.6,90.0%,435.3%,SME
108,Davin Sons Retail Ltd.,20.4,10.7,09 Jan `25,8.8 Cr,₹ 55,-,73.1x,156.5x,114.8x,44.0,46.2,-20.0%,-63.0%,SME
109,Parmeshwar Metal Ltd.,68.0,104.1,09 Jan `25,24.7 Cr,₹ 61,94.1x,1597.6x,792.4x,564.0x,84.5,88.7,38.5%,11.5%,SME
110,Leo Dryfruits & Spices Trading Ltd.,78.0,139.6,08 Jan `25,25.1 Cr,₹ 52,35.6x,525.7x,207.0x,169.1x,68.0,71.4,30.8%,50.0%,SME
111,Technichem Organics Ltd.,42.0,72.7,07 Jan `25,25.3 Cr,₹ 55,53.5x,1425.0x,434.6x,392.6x,57.3,60.1,4.1%,-23.7%,SME
112,Citichem India Ltd.,27.0,18.4,03 Jan `25,12.6 Cr,₹ 70,-,263.8x,522.7x,393.2x,70.0,68.3,0.0%,-61.4%,SME
113,Anya Polytech Fertilizers,26.6,319.2,02 Jan `25,44.8 Cr,₹ 14,80.1x,1463.9x,427.5x,409.3x,17.1,17.9,22.1%,90.0%,SME
