,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
113,HP Adhesives,20.96 x Oversubscribed,"₹13,700",50,"₹1,204.5 M - ₹1,259.6 M",4.6 M,₹262 - ₹274,95.31 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: HPAL | BSE: 543433
114,Data Patterns,119.62 x Oversubscribed,"₹14,625",25,"₹3,303.7 M - ₹3,482.2 M",6.0 M,₹555 - ₹585,58.64 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: DATAPATTNS | BSE: 543428 | ASM
115,Euro Panel Products,1.8 x Oversubscribed,"₹140,000",2000,₹455.0 M,6.5 M,₹70,73.47 %,SECTOR : METALS & MINING,INDUSTRY : ALUMINIUM AND ALUMINIUM PRODUCTS,NSE: EUROBOND
116,Nupur Recyclers,43.67 x Oversubscribed,"₹120,000",2000,₹342.0 M,5.7 M,₹60,72.6 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: NRL
117,Medplus Health,52.59 x Oversubscribed,"₹14,328",18,"₹13,701.9 M - ₹13,983.0 M",17.6 M,₹780 - ₹796,85.28 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : HEALTHCARE SUPPLIES,NSE: MEDPLUS | BSE: 543427
118,Metro Brands,3.64 x Oversubscribed,"₹15,000",30,"₹10,403.3 M - ₹10,725.0 M",21.5 M,₹485 - ₹500,83.99 %,SECTOR : RETAILING,INDUSTRY : FOOTWEAR,NSE: METROBRAND | BSE: 543426
119,C.E. Info Systems,154.71 x Oversubscribed,"₹14,462",14,"₹10,063.9 M - ₹10,396.1 M",10.1 M,₹1000 - ₹1033,81.1 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: MAPMYINDIA | BSE: 543425
120,Shriram Properties,4.6 x Oversubscribed,"₹14,750",125,"₹5,745.8 M - ₹6,000.0 M",50.8 M,₹113 - ₹118,31.98 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: SHRIRAMPPS | BSE: 543419
121,RateGain Travel,17.41 x Oversubscribed,"₹14,875",35,"₹12,728.8 M - ₹13,357.4 M",31.4 M,₹405 - ₹425,67.29 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: RATEGAIN | BSE: 543417
122,Anand Rathi Wealth,9.78 x Oversubscribed,"₹14,850",27,"₹6,360.0 M - ₹6,600.0 M",12.0 M,₹530 - ₹550,74.74 %,SECTOR : BANKING AND FINANCE,INDUSTRY : CAPITAL MARKETS,NSE: ANANDRATHI | BSE: 543415
123,Tega Industries,219.04 x Oversubscribed,"₹14,949",33,"₹6,055.6 M - ₹6,192.3 M",13.7 M,₹443 - ₹453,85.33 %,SECTOR : METALS & MINING,INDUSTRY : COAL & MINING,NSE: TEGA | BSE: 543413
124,Star Health,0.79 x Undersubscribed,"₹14,400",16,"₹72,491.8 M",-,₹870 - ₹900,66.22 %,SECTOR : BANKING AND FINANCE,INDUSTRY : GENERAL INSURANCE,NSE: STARHEALTH | BSE: 543412
125,DMR Hydroengineering,11.43 x Oversubscribed,"₹126,000",6000,₹20.9 M,996.0 K,₹21,73.27 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 543410
126,Go Fashion,135.46 x Oversubscribed,"₹14,490",21,"₹9,621.9 M - ₹10,136.1 M",14.7 M,₹655 - ₹690,72.8 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: GOCOLORS | BSE: 543401
127,Omnipotent Industries,1.17 x Oversubscribed,"₹126,000",2000,₹189.0 M,3.0 M,₹63,50.41 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543400 | GSM
128,Tarsons Products,77.49 x Oversubscribed,"₹14,564",22,"₹9,817.3 M - ₹10,234.7 M",15.5 M,₹635 - ₹662,70.94 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,NSE: TARSONS | BSE: 543399
129,Latent View Analytics,326.49 x Oversubscribed,"₹14,972",76,"₹5,786.8 M - ₹6,000.0 M",30.5 M,₹190 - ₹197,84.6 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : DATA PROCESSING SERVICES,NSE: LATENTVIEW | BSE: 543398
130,Sapphire Foods,6.62 x Oversubscribed,"₹14,160",12,"₹19,678.3 M - ₹20,732.5 M",17.6 M,₹1120 - ₹1180,61.36 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: SAPPHIRE | BSE: 543397
131,One97 Communications,1.89 x Oversubscribed,"₹12,900",6,"₹177,041.9 M - ₹183,000.0 M",85.1 M,₹2080 - ₹2150,86.87 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: PAYTM | BSE: 543396
132,Suyog Gurbaxani Funicular,1.27 x Oversubscribed,"₹135,000",3000,₹295.0 M,6.6 M,₹45,73.63 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 543391
133,Sigachi Industries,101.91 x Oversubscribed,"₹14,670",90,"₹1,238.9 M - ₹1,254.3 M",7.7 M,₹161 - ₹163,64.64 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SIGACHI | BSE: 543389
134,SJS Enterprises,1.59 x Oversubscribed,"₹14,634",27,"₹7,837.6 M - ₹8,000.0 M",14.8 M,₹531 - ₹542,51.51 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: SJS | BSE: 543387
135,PB Fintech,16.59 x Oversubscribed,"₹14,700",15,"₹53,954.1 M - ₹56,250.0 M",57.4 M,₹940 - ₹980,87.23 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: POLICYBZR | BSE: 543390
136,Fino Payments Bank,2.03 x Oversubscribed,"₹14,425",25,"₹11,649.3 M - ₹12,002.9 M",20.8 M,₹560 - ₹577,75 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: FINOPB | BSE: 543386
137,Nidan Laboratories,1.8 x Oversubscribed,"₹125,000",1000,₹500.0 M,4.0 M,₹125,71.22 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: NIDAN
138,FSN E-Commerce,81.78 x Oversubscribed,"₹13,500",12,"₹45,540.3 M - ₹47,219.2 M",42.0 M,₹1085 - ₹1125,55.73 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: NYKAA | BSE: 543384
139,Kotyark Industries,7.15 x Oversubscribed,"₹102,000",2000,₹112.6 M,2.2 M,₹51,73.32 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: KOTYARK
140,Dynamic Services,1.94 x Oversubscribed,"₹102,000",2000,₹241.3 M,4.7 M,₹51,65 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: DYNAMIC
141,Destiny Logistics & Infra,4.78 x Oversubscribed,"₹120,000",6000,₹53.9 M,2.7 M,₹20,64.99 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,NSE: DESTINY
142,Samor Reality,1.74 x Oversubscribed,"₹124,000",2000,₹80.6 M,1.3 M,₹62,69.77 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543376
143,CWD,1.31 x Oversubscribed,"₹144,000",800,₹180.1 M,1.0 M,₹180,72.29 %,SECTOR : CONSUMER DURABLES,INDUSTRY : CONSUMER ELECTRONICS,BSE: 543378
144,Adishakti Loha & Ispat,0.81 x Undersubscribed,"₹110,000",10000,₹20.0 M,1.8 M,₹11,60.07 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543377 | GSM
145,Bombay Metrics Supply,18.5 x Oversubscribed,"₹111,600",1200,₹42.9 M,460.8 K,₹93,70.06 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: BMETRICS
146,Promax Power,6.89 x Oversubscribed,"₹100,000",10000,₹16.0 M,1.6 M,₹10,73.33 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 543375
147,Aditya Birla Sun Life AMC,5.25 x Oversubscribed,"₹14,240",20,"₹27,021.6 M - ₹27,682.6 M",38.9 M,₹695 - ₹712,86.5 %,SECTOR : BANKING AND FINANCE,INDUSTRY : ASSET MANAGEMENT COS.,NSE: ABSLAMC | BSE: 543374
148,Shri Venkatesh Refineries,3.12 x Oversubscribed,"₹120,000",3000,₹117.1 M,2.9 M,₹40,73.52 %,SECTOR : FMCG,INDUSTRY : EDIBLE OILS,BSE: 543373
149,Jainam Ferro Alloys,6.65 x Oversubscribed,"₹140,000",2000,₹196.1 M,2.8 M,₹70,73.47 %,SECTOR : METALS & MINING,INDUSTRY : OTHER NON-FERROUS METALS,NSE: JAINAM
150,Getalong Enterprises,2.09 x Oversubscribed,"₹138,000",2000,₹51.8 M,750.0 K,₹69,58.98 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 543372
151,Paras Defence,304.26 x Oversubscribed,"₹14,875",85,"₹1,610.2 M - ₹1,707.8 M",9.8 M,₹165 - ₹175,74.98 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: PARAS | BSE: 543367 | ASM
152,Quadpro ITeS,16.12 x Oversubscribed,"₹120,000",6000,₹141.0 M,7.0 M,₹20,72.11 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: QUADPRO
153,SBL Infratech,1.56 x Oversubscribed,"₹133,200",1200,₹23.7 M,213.6 K,₹111,73.67 %,SECTOR : REALTY,INDUSTRY : REALTY,BSE: 543366
154,Prevest Denpro,38.12 x Oversubscribed,"₹134,400",1600,₹266.1 M,2.3 M,₹84,81.12 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,BSE: 543363
155,Markolines Pavement,2.18 x Oversubscribed,"₹124,800",1600,₹400.0 M,5.1 M,₹78,73.16 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,BSE: 543364
156,Sansera Engineering,11.47 x Oversubscribed,"₹14,880",20,"₹12,657.3 M - ₹12,829.8 M",17.2 M,₹734 - ₹744,66.44 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: SANSERA | BSE: 543358
157,BEW Engineering,3.64 x Oversubscribed,"₹116,000",2000,₹39.7 M,684.0 K,₹58,73.5 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: BEWLTD
158,PlatinumOne Business,2.99 x Oversubscribed,"₹110,400",1200,₹38.9 M,422.4 K,₹92,73.31 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,BSE: 543352
159,Naapbooks,1.58 x Oversubscribed,"₹118,400",1600,₹38.3 M - ₹39.9 M,539.2 K,₹71 - ₹74,70.96 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,BSE: 543351
160,Vijaya Diagnostic Centre,4.54 x Oversubscribed,"₹14,868",28,"₹18,629.2 M - ₹18,950.4 M",35.7 M,₹522 - ₹531,59.78 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: VIJAYA | BSE: 543350
161,Ami Organics,64.54 x Oversubscribed,"₹14,640",24,"₹5,631.0 M - ₹5,696.4 M",9.3 M,₹603 - ₹610,74.37 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ACUTAAS | BSE: 543349
162,Aptus Value Housing,17.2 x Oversubscribed,"₹14,826",42,"₹27,249.2 M - ₹27,800.5 M",78.8 M,₹346 - ₹353,84.11 %,SECTOR : BANKING AND FINANCE,INDUSTRY : HOUSING FINANCE,NSE: APTUS | BSE: 543335
163,Aashka Hospitals,1.3 x Oversubscribed,"₹121,000",1000,"₹1,016.4 M",8.4 M,₹121,64.1 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,BSE: 543346
164,DU Digital Global,22.99 x Oversubscribed,"₹130,000",2000,₹44.9 M,690.0 K,₹65,73.46 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: DUGLOBAL
165,Chemplast Sanmar,2.17 x Oversubscribed,"₹14,607",27,"₹37,717.2 M - ₹38,500.0 M",71.2 M,₹530 - ₹541,54.99 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: CHEMPLASTS | BSE: 543336
166,Nuvoco Vistas,1.71 x Oversubscribed,"₹14,820",26,"₹49,122.8 M - ₹50,000.0 M",87.7 M,₹560 - ₹570,75.44 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CEMENT & CEMENT PRODUCTS,NSE: NUVOCO | BSE: 543334
167,CarTrade Tech,20.29 x Oversubscribed,"₹14,562",9,"₹29,373.6 M - ₹29,985.1 M",18.5 M,₹1585 - ₹1618,59.57 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: CARTRADE | BSE: 543333
168,Windlas Biotech,22.44 x Oversubscribed,"₹13,800",30,"₹3,910.7 M - ₹4,015.4 M",8.7 M,₹448 - ₹460,59.95 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: WINDLAS | BSE: 543329
169,Exxaro Tiles,22.65 x Oversubscribed,"₹15,000",125,"₹1,584.0 M - ₹1,610.9 M",13.4 M,₹118 - ₹120,56.09 %,SECTOR : CONSUMER DURABLES,INDUSTRY : CERAMICS,NSE: EXXARO | BSE: 543327
170,Devyani Intl,116.7 x Oversubscribed,"₹14,850",165,"₹17,563.1 M - ₹18,380.0 M",204.2 M,₹86 - ₹90,83.02 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: DEVYANI | BSE: 543330
171,Krsnaa Diagnostics,64.38 x Oversubscribed,"₹14,310",15,"₹11,866.2 M - ₹12,133.3 M",12.7 M,₹933 - ₹954,59.43 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: KRSNAA | BSE: 543328
172,Rex Pipes and Cables,23.99 x Oversubscribed,"₹104,000",4000,₹62.4 M,2.4 M,₹26,72.09 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: REXPIPES
173,Network People,22.37 x Oversubscribed,"₹121,600",1600,₹130.1 M - ₹137.0 M,1.7 M,₹76 - ₹80,67.55 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: NPST | BSE: 544396
174,Rolex Rings,130.44 x Oversubscribed,"₹14,400",16,"₹7,147.6 M - ₹7,310.0 M",8.1 M,₹880 - ₹900,80.11 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: ROLEXRINGS | BSE: 543325
175,Gretex Corporate,7.27 x Oversubscribed,"₹136,000",800,₹51.3 M,301.6 K,₹170,73.48 %,SECTOR : BANKING AND FINANCE,INDUSTRY : OTHER FINANCIAL SERVICES,BSE: 543324
176,Alivus Life Sciences,44.17 x Oversubscribed,"₹14,400",20,"₹14,610.4 M - ₹15,136.0 M",21.0 M,₹695 - ₹720,82.84 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ALIVUS | BSE: 543322
177,Tatva Chintan Pharma,180.36 x Oversubscribed,"₹14,079",13,"₹4,953.8 M - ₹5,000.0 M",4.6 M,₹1073 - ₹1083,79.17 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: TATVA | BSE: 543321
178,Zomato,38.25 x Oversubscribed,"₹14,820",195,"₹88,815.8 M - ₹93,750.0 M","1,233.6 M",₹72 - ₹76,84.28 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: ETERNAL | BSE: 543320
179,AA Plus Tradelink,1.46 x Oversubscribed,"₹144,000",8000,₹64.8 M,3.6 M,₹18,55.91 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543319
180,G R Infraprojects,102.58 x Oversubscribed,"₹14,229",17,"₹9,529.2 M - ₹9,632.8 M",11.5 M,₹828 - ₹837,88.04 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : ROADS & HIGHWAYS,NSE: GRINFRA | BSE: 543317
181,Clean Science,93.41 x Oversubscribed,"₹14,400",16,"₹15,122.5 M - ₹15,466.2 M",17.2 M,₹880 - ₹900,83.82 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: CLEAN | BSE: 543318
182,Focus Business,6.66 x Oversubscribed,"₹114,000",6000,₹12.2 M,642.0 K,₹19,71.11 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 543312
183,Walpar Nutritions,9.48 x Oversubscribed,"₹110,000",2000,₹66.0 M,1.2 M,₹55,73.58 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: WALPAR
184,India Pesticides,29.04 x Oversubscribed,"₹14,800",50,"₹7,837.8 M - ₹8,000.0 M",27.0 M,₹290 - ₹296,82.68 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : AGROCHEMICALS,NSE: IPL | BSE: 543311
185,Krishna Institute,3.86 x Oversubscribed,"₹14,850",18,"₹21,177.6 M - ₹21,437.4 M",26.0 M,₹815 - ₹825,67.53 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: KIMS | BSE: 543308
186,Times Green Energy,2.94 x Oversubscribed,"₹122,000",2000,₹40.5 M,664.0 K,₹61,60.1 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,BSE: 543310
187,Dodla Dairy,45.62 x Oversubscribed,"₹14,980",35,"₹5,116.7 M - ₹5,201.8 M",12.2 M,₹421 - ₹428,79.57 %,SECTOR : FMCG,INDUSTRY : PACKAGED FOODS,NSE: DODLA | BSE: 543306
188,Adeshwar Meditex,1.85 x Oversubscribed,"₹150,000",6000,₹97.5 M,3.9 M,₹25,72.98 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : MEDICAL EQUIPMENT,BSE: 543309
189,Sona BLW Precision,2.28 x Oversubscribed,"₹14,841",51,"₹54,355.7 M - ₹55,500.0 M",190.7 M,₹285 - ₹291,67.3 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: SONACOMS | BSE: 543300
190,Shyam Metalics,121.43 x Oversubscribed,"₹13,770",45,"₹9,000.9 M - ₹9,090.0 M",29.7 M,₹303 - ₹306,88.35 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL/INTERM.PRODUCTS,NSE: SHYAMMETL | BSE: 543299
191,Navoday Enterprises,2.36 x Oversubscribed,"₹120,000",6000,₹46.1 M,2.3 M,₹20,40.22 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 543305
192,Abhishek Integrations,10.5 x Oversubscribed,"₹150,000",3000,₹49.5 M,990.0 K,₹50,67.12 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: AILIMITED
193,Kuberan Global Edu,3.3 x Oversubscribed,"₹120,000",6000,₹11.2 M,558.0 K,₹20,73.51 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 543289
194,Macrotech Developers,1.36 x Oversubscribed,"₹14,580",30,"₹24,845.7 M - ₹25,000.0 M",51.4 M,₹483 - ₹486,88.5 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: LODHA | BSE: 543287
195,Jetmall Spices,1.36 x Oversubscribed,"₹120,000",6000,₹49.8 M,2.5 M,₹20,58.45 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,BSE: 543286
196,Rajeshwari Cans,1.4 x Oversubscribed,"₹120,000",6000,₹40.3 M,2.0 M,₹20,61.57 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONTAINERS & PACKAGING,BSE: 543285
197,V-Marc,1.62 x Oversubscribed,"₹117,000",3000,₹222.0 M - ₹234.0 M,6.0 M,₹37 - ₹39,73.67 %,SECTOR : CONSUMER DURABLES,INDUSTRY : WIRES & CABLES,NSE: VMARCIND
198,Barbeque-Nation,5.98 x Oversubscribed,"₹15,000",30,"₹4,510.6 M - ₹4,528.7 M",9.1 M,₹498 - ₹500,45.49 %,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : RESTAURANTS,NSE: BARBEQUE | BSE: 543283
199,Siddhika Coatings,2.6 x Oversubscribed,"₹114,000",2000,₹47.0 M,824.0 K,₹57,73.33 %,SECTOR : CONSUMER DURABLES,INDUSTRY : PAINTS,NSE: SIDDHIKA
200,EKI Energy Services,4.05 x Oversubscribed,"₹122,400",1200,₹182.4 M - ₹186.0 M,1.8 M,₹100 - ₹102,73.47 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : CONSULTING SERVICES,BSE: 543284
201,Niks Technology,4.1 x Oversubscribed,"₹120,600",600,₹20.1 M,100.2 K,₹201,72.41 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 543282
202,Nazara Technologies,175.46 x Oversubscribed,"₹14,313",13,"₹5,823.8 M - ₹5,829.1 M",5.3 M,₹1100 - ₹1101,23.78 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: NAZARA | BSE: 543280
203,Suryoday Small Finance Bank,2.37 x Oversubscribed,"₹14,945",49,"₹5,785.2 M - ₹5,823.4 M",19.1 M,₹303 - ₹305,30.35 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: SURYODAY | BSE: 543279
204,Kalyan Jewellers,2.61 x Oversubscribed,"₹14,964",172,"₹11,614.9 M - ₹11,750.0 M",135.1 M,₹86 - ₹87,86.91 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: KALYANKJIL | BSE: 543278
205,Craftsman Automation,3.82 x Oversubscribed,"₹14,900",10,"₹8,225.9 M - ₹8,237.0 M",5.5 M,₹1488 - ₹1490,73.84 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: CRAFTSMAN | BSE: 543276
206,Laxmi Organic Ind,106.81 x Oversubscribed,"₹14,950",115,"₹5,953.8 M - ₹6,000.0 M",46.2 M,₹129 - ₹130,82.5 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: LXCHEM | BSE: 543277
207,Anupam Rasayan,44.06 x Oversubscribed,"₹14,985",27,"₹7,572.6 M - ₹7,600.0 M",13.7 M,₹553 - ₹555,75.8 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,NSE: ANURAS | BSE: 543275
208,Knowledge Marine Engg,2.87 x Oversubscribed,"₹111,000",3000,₹101.2 M,2.7 M,₹37,73.27 %,SECTOR : TRANSPORTATION,INDUSTRY : MARINE PORT & SERVICES,BSE: 543273
209,Easy Trip Planners,159.33 x Oversubscribed,"₹14,960",80,"₹5,072.7 M - ₹5,100.0 M",27.3 M,₹186 - ₹187,74.9 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: EASEMYTRIP | BSE: 543272
210,MTAR Technologies,200.79 x Oversubscribed,"₹14,950",26,"₹5,953.8 M - ₹5,964.1 M",10.4 M,₹574 - ₹575,62.24 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : AEROSPACE & DEFENCE,NSE: MTARTECH | BSE: 543270
211,Adjia Technologies,6.03 x Oversubscribed,"₹118,400",1600,₹20.0 M,270.4 K,₹74,69.29 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,BSE: 543269 | GSM
212,Heranba Industries,83.29 x Oversubscribed,"₹14,421",23,"₹6,240.0 M - ₹6,250.0 M",10.0 M,₹626 - ₹627,75.09 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : AGROCHEMICALS,NSE: HERANBA | BSE: 543266
213,Pavna Industries,,"₹132,000",800,₹297.0 M,1.8 M,₹165,70.45 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: PAVNAIND | BSE: 543915
214,Party Cruisers,1.25 x Oversubscribed,"₹102,000",2000,₹77.5 M,1.5 M,₹51,72.86 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : SPECIAL CONSUMER SERVICES,NSE: PARTYCRUS
215,RailTel Corporation,42.39 x Oversubscribed,"₹14,570",155,"₹8,105.3 M - ₹8,192.4 M",87.2 M,₹93 - ₹94,72.84 %,SECTOR : TELECOM SERVICES,INDUSTRY : TELECOM SERVICES,NSE: RAILTEL | BSE: 543265
216,Nureca,39.93 x Oversubscribed,"₹14,000",35,"₹990.0 M - ₹1,000.0 M",2.5 M,₹396 - ₹400,75 %,SECTOR : HEALTHCARE EQUIPMENT & SUPPLIES,INDUSTRY : HEALTHCARE SUPPLIES,NSE: NURECA | BSE: 543264
217,MRP Agro,3.21 x Oversubscribed,"₹120,000",3000,₹32.4 M,810.0 K,₹40,72.81 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 543262
218,Brookfield Real Estate,7.94 x Oversubscribed,"₹55,000",200,"₹37,861.8 M - ₹38,000.0 M",138.2 M,₹274 - ₹275,-,SECTOR : REALTY,INDUSTRY : REITS-INVITS,NSE: BIRET | BSE: 543261
219,Stove Kraft,18.03 x Oversubscribed,"₹14,630",38,"₹4,119.3 M - ₹4,130.0 M",10.7 M,₹384 - ₹385,67.04 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEHOLD APPLIANCES,NSE: STOVEKRAFT | BSE: 543260
